Ai	Aj	Bi	Bj	length	distance	complex	cov	mfe	comp	p-value	shapeA	shapeB	length_ex	mfe_ex	comp_ex	p-value_ex	Aseg	Bseg	Aseg_i	Aseg_j	Bseg_i	Bseg_j
842	850	5793	5801	9	4943	0.92	10	-14.26	0.22	0.04116646931207035	-100	-100	17	-24.19	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	842	850	871	879
843	850	4250	4257	8	3400	0.85	10	-11.11	0.25	0.025822284638367998	-100	-100	16	-20.34	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	843	850	1789	1796
844	848	6924	6928	5	6076	0.93	10	-10.05	0.16	0.021866475568994126	-100	-100	11	-18.21	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	844	848	2002	2006
844	849	10020	10025	6	9171	0.9	10	-11.34	0.19	0.018501235316867093	-100	-100	13	-20.86	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	844	849	795	800
844	850	13018	13024	7	12168	0.93	10	-10.48	0.19	0.04137431788862089	-100	-100	13	-18.24	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	844	850	486	492
846	852	4310	4316	7	3458	0.84	10	-12.17	0.23	0.027654130781842423	-100	-100	11	-13.8	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	846	852	1849	1855
847	851	9475	9479	5	8624	0.83	10	-10.07	0.19	0.025349555400214885	-100	-100	13	-15.86	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	847	851	250	254
847	851	10273	10277	5	9422	0.91	10	-10.54	0.2	0.027218543482375512	-100	-100	12	-15.97	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	847	851	1048	1052
847	853	10052	10058	7	9199	0.9	10	-15.29	0.23	0.011384232628371738	-100	-100	14	-20.49	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	847	853	827	833
847	854	12738	12745	8	11884	0.77	10	-13.92	0.22	0.019055505941304007	-100	-100	12	-16.54	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	847	854	206	213
851	857	10129	10135	7	9272	0.83	10	-13.14	0.23	0.022308592061837995	-100	-100	16	-24.13	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	851	857	904	910
853	857	2723	2727	5	1866	0.81	10	-10.34	0.25	0.018163454582166172	-100	-100	15	-26.04	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	853	857	262	266
868	875	4616	4623	8	3741	0.83	10	-10.91	0.22	0.022846037263701602	-100	-100	16	-14.37	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	868	875	2155	2162
874	881	13751	13758	8	12870	0.89	10	-15.69	0.22	0.020371110564753048	-100	-100	17	-22.55	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	874	881	72	79
875	881	3679	3685	7	2798	0.89	10	-11.98	0.22	0.027522021532908614	-100	-100	10	-13.5	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	875	881	1218	1224
876	881	6067	6072	6	5186	0.84	10	-12.53	0.19	0.04740860427452409	-100	-100	14	-18.93	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	876	881	1145	1150
876	881	9685	9690	6	8804	0.82	10	-11.21	0.22	0.04626947331531217	-100	-100	15	-20.8	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	876	881	460	465
878	882	12981	12985	5	12099	0.83	10	-11.26	0.23	0.02133596477019495	-100	-100	7	-13.86	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	878	882	449	453
879	885	4219	4225	7	3334	0.86	10	-14.71	0.27	0.030011747415094048	-100	-100	16	-21.38	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	879	885	1758	1764
879	886	13491	13498	8	12605	0.94	10	-18.66	0.22	0.01406741659231947	-100	-100	15	-21.9	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	879	886	959	966
882	887	4558	4563	6	3671	0.96	10	-11.43	0.25	0.019787139434002454	-100	-100	15	-15.5	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	882	887	2097	2102
883	888	9758	9763	6	8870	0.97	10	-10.16	0.22	0.04557117974464886	-100	-100	17	-25.88	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	883	888	533	538
884	891	10104	10111	8	9213	0.9	10	-12.35	0.25	0.03473080052013544	-100	-100	17	-26.66	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	884	891	879	886
886	894	12739	12747	9	11845	0.74	10	-11.49	0.24	0.04925212234431031	-100	-100	21	-19.82	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	886	894	207	215
891	897	4606	4612	7	3709	0.68	10	-11.62	0.3	0.033048423759000634	-100	-100	9	-10.5	0.26	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	891	897	2145	2151
894	899	5853	5858	6	4954	0.82	10	-10.92	0.26	0.04749500370665949	-100	-100	11	-15.66	0.25	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	894	899	931	936
898	905	4791	4798	8	3886	0.74	6	-11.95	0.23	0.025544527700413378	-100	-100	13	-11.76	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	898	905	2330	2337
898	905	7145	7152	8	6240	0.74	7	-11.48	0.21	0.025160790933192567	-100	-100	13	-9.86	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	898	905	2223	2230
898	905	9094	9101	8	8189	0.74	7	-11.69	0.21	0.026025764618065494	-100	-100	14	-14.43	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP4	898	905	1818	1825
898	905	10779	10786	8	9874	0.74	7	-11.69	0.21	0.029371640848944836	-100	-100	14	-13.47	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	898	905	1554	1561
898	905	12401	12408	8	11496	0.74	6	-11.46	0.21	0.02446314355937418	-100	-100	14	-11.35	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP6	898	905	1491	1498
898	905	13548	13555	8	12643	0.74	6	-11.46	0.21	0.0361612348421434	-100	-100	15	-14.86	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	898	905	1016	1023
898	905	14558	14565	8	13653	0.74	6	-11.46	0.21	0.023874335612165343	-100	-100	12	-14.05	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	898	905	879	886
904	910	4503	4509	7	3593	0.79	10	-10.87	0.25	0.021684723991839405	-100	-100	17	-20.2	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	904	910	2042	2048
904	912	10267	10275	9	9355	0.83	10	-14.22	0.22	0.03865926575150336	-100	-100	16	-26.51	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	904	912	1042	1050
905	913	7109	7117	9	6196	0.83	8	-10.38	0.22	0.03227490805610744	-100	-100	22	-28.0	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	905	913	2187	2195
906	911	10540	10545	6	9629	0.81	10	-10.31	0.23	0.02920648319692587	-100	-100	13	-11.78	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	906	911	1315	1320
907	914	12594	12601	8	11680	0.86	10	-11.02	0.21	0.03914186701798028	-100	-100	16	-20.37	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	907	914	62	69
909	915	4310	4316	7	3395	0.84	10	-10.72	0.23	0.044098552720712836	-100	-100	11	-10.64	0.27	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	909	915	1849	1855
912	919	3432	3439	8	2513	0.72	10	-11.4	0.26	0.011463445077863232	-100	-100	15	-13.32	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	912	919	971	978
913	919	2488	2494	7	1569	0.84	10	-13.87	0.19	0.014556831576378215	-100	-100	12	-19.68	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	913	919	27	33
913	922	14218	14227	10	13296	0.8	10	-18.32	0.19	0.013369540771937194	-100	-100	15	-21.55	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	913	922	539	548
914	920	9754	9760	7	8834	0.84	10	-10.66	0.19	0.02081362312755919	-100	-100	17	-15.49	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	914	920	529	535
914	921	2987	2994	8	2066	0.82	10	-12.66	0.21	0.018165511823764025	-100	-100	13	-14.48	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	914	921	526	533
915	922	14326	14333	8	13404	0.73	10	-11.79	0.19	0.012816607928065382	-100	-100	16	-24.85	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	915	922	647	654
925	933	7041	7049	9	6108	0.62	10	-17.88	0.21	0.018118791228652342	-100	-100	20	-21.66	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	925	933	2119	2127
931	935	9355	9359	5	8420	0.73	10	-10.45	0.19	0.012329472404756459	-100	-100	11	-14.61	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	931	935	130	134
942	947	4768	4773	6	3821	0.81	8	-10.05	0.19	0.027421363096385765	-100	-100	20	-19.2	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	942	947	2307	2312
945	950	4112	4117	6	3162	0.89	10	-11.88	0.18	0.03190286554244992	-100	-100	14	-16.7	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	945	950	1651	1656
945	950	5662	5667	6	4712	0.89	10	-12.94	0.19	0.03301825820708715	-100	-100	10	-12.43	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	945	950	740	745
945	952	13108	13115	8	12156	0.87	10	-17.02	0.24	0.01073496386737327	-100	-100	16	-22.75	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	945	952	576	583
946	950	2951	2955	5	2001	0.82	10	-11.92	0.2	0.030803642384424013	-100	-100	15	-17.82	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	946	950	490	494
946	951	6065	6070	6	5114	0.82	10	-10.74	0.22	0.044743947319713984	-100	-100	9	-9.25	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	946	951	1143	1148
947	953	10474	10480	7	9521	0.84	10	-13.43	0.25	0.034234377770927193	-100	-100	12	-18.17	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	947	953	1249	1255
947	953	12883	12889	7	11930	0.77	10	-12.96	0.21	0.04098608615725474	-100	-100	12	-13.78	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	947	953	351	357
947	953	13435	13441	7	12482	0.83	10	-12.2	0.23	0.03201203046922374	-100	-100	14	-14.02	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	947	953	903	909
948	957	12743	12752	10	11786	0.91	10	-11.52	0.23	0.04344723297680686	-100	-100	15	-14.28	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	948	957	211	220
949	953	4727	4731	5	3774	0.8	10	-10.16	0.2	0.03389151210788277	-100	-100	11	-10.65	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	949	953	2266	2270
959	965	4789	4795	7	3824	0.72	7	-11.78	0.17	0.023967129525035324	-100	-100	12	-13.43	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	959	965	2328	2334
959	965	7044	7050	7	6079	0.72	10	-10.42	0.19	0.03334474602092352	-100	-100	19	-19.84	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	959	965	2122	2128
960	965	5620	5625	6	4655	0.72	10	-13.24	0.16	0.01929051916175961	-100	-100	10	-13.26	0.16	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	960	965	698	703
963	968	6240	6245	6	5272	0.8	10	-11.82	0.29	0.038821415931784564	-100	-100	9	-11.14	0.25	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	963	968	1318	1323
964	968	2900	2904	5	1932	0.89	10	-13.36	0.19	0.03728837140242047	-100	-100	13	-21.12	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	964	968	439	443
964	968	8494	8498	5	7526	0.93	10	-13.49	0.19	0.020718041650433117	-100	-100	5	-12.29	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP4	964	968	1218	1222
964	969	4411	4416	6	3442	0.91	10	-11.49	0.18	0.029277719546342396	-100	-100	11	-17.2	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	964	969	1950	1955
967	972	6257	6262	6	5285	0.75	10	-10.81	0.18	0.012682225773109956	-100	-100	12	-14.16	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	967	972	1335	1340
967	973	4461	4467	7	3488	0.76	10	-12.68	0.2	0.033082601972531656	-100	-100	11	-12.8	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	967	973	2000	2006
967	974	6945	6952	8	5971	0.76	10	-10.08	0.21	0.009525678379737279	-100	-100	15	-14.72	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	967	974	2023	2030
983	989	13528	13534	7	12539	0.89	10	-10.62	0.27	0.029781741816525376	-100	-100	11	-10.15	0.25	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	983	989	996	1002
986	991	3914	3919	6	2923	0.84	10	-10.44	0.22	0.022981060668255227	-100	-100	8	-11.26	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	986	991	1453	1458
986	992	3709	3715	7	2717	0.79	10	-12.87	0.21	0.03626412226297493	-100	-100	16	-21.47	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	986	992	1248	1254
987	993	9581	9587	7	8588	0.84	10	-13.87	0.26	0.010457967149904213	-100	-100	16	-15.0	0.28	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	987	993	356	362
988	993	4333	4338	6	3340	0.81	10	-13.18	0.22	0.011099652666615611	-100	-100	19	-20.17	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	988	993	1872	1877
988	993	6377	6382	6	5384	0.8	10	-11.79	0.21	0.014214113989330146	-100	-100	10	-15.41	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	988	993	1455	1460
988	993	10259	10264	6	9266	0.8	10	-11.06	0.22	0.04909045067982032	-100	-100	21	-20.82	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	988	993	1034	1039
988	995	4535	4542	8	3540	0.82	10	-13.27	0.2	0.021600745315579428	-100	-100	15	-17.51	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	988	995	2074	2081
989	995	2987	2993	7	1992	0.82	10	-10.53	0.24	0.028521274652483997	-100	-100	17	-16.24	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	989	995	526	532
989	995	14219	14225	7	13224	0.82	10	-10.62	0.24	0.035724763235275514	-100	-100	14	-17.34	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	989	995	540	546
990	996	6912	6918	7	5916	0.66	10	-11.19	0.29	0.0410007205445756	-100	-100	20	-32.33	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	990	996	1990	1996
990	996	10150	10156	7	9154	0.76	10	-11.42	0.29	0.031515606267107255	-100	-100	18	-18.53	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	990	996	925	931
990	997	10719	10726	8	9722	0.76	10	-13.51	0.26	0.015835290161171578	-100	-100	20	-16.26	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	990	997	1494	1501
991	996	6271	6276	6	5275	0.71	10	-10.26	0.25	0.020441622587272	-100	-100	16	-12.97	0.26	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	991	996	1349	1354
991	996	6423	6428	6	5427	0.71	10	-10.99	0.25	0.01487611386489407	-100	-100	16	-17.57	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	991	996	1501	1506
991	996	13441	13446	6	12445	0.77	10	-10.71	0.24	0.044574399370327034	-100	-100	16	-23.44	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	991	996	909	914
991	996	14162	14167	6	13166	0.76	10	-10.44	0.27	0.031121029557350743	-100	-100	15	-16.66	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	991	996	483	488
991	997	3853	3859	7	2856	0.71	10	-11.9	0.26	0.027699052373593713	-100	-100	15	-22.22	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	991	997	1392	1398
991	997	5837	5843	7	4840	0.7	10	-11.42	0.25	0.03815658283976431	-100	-100	18	-24.6	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	991	997	915	921
991	997	6325	6331	7	5328	0.69	10	-10.73	0.21	0.039426033259569615	-100	-100	12	-13.58	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	991	997	1403	1409
991	997	9426	9432	7	8429	0.71	10	-12.06	0.26	0.021899191219805547	-100	-100	19	-24.06	0.25	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	991	997	201	207
991	997	13460	13466	7	12463	0.7	10	-11.65	0.21	0.0334701525488178	-100	-100	15	-21.81	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	991	997	928	934
992	998	9545	9551	7	8547	0.73	10	-13.55	0.24	0.02903832377865312	-100	-100	12	-19.91	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	992	998	320	326
992	1000	3301	3309	9	2301	0.67	10	-12.85	0.25	0.038541000780044965	-100	-100	23	-26.45	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	992	1000	840	848
993	1003	13526	13536	11	12523	0.78	10	-15.64	0.22	0.02956172413973357	-100	-100	15	-15.93	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	993	1003	994	1004
994	999	10021	10026	6	9022	0.77	10	-10.78	0.25	0.01714618438612403	-100	-100	18	-23.47	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	994	999	796	801
996	1002	4216	4222	7	3214	0.74	10	-10.59	0.23	0.03637445438207387	-100	-100	18	-25.43	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	996	1002	1755	1761
998	1003	6182	6187	6	5179	0.68	10	-10.72	0.22	0.036846954355093664	-100	-100	19	-19.24	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	998	1003	1260	1265
998	1004	5594	5600	7	4590	0.68	10	-10.7	0.21	0.038572624287245505	-100	-100	11	-13.48	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	998	1004	672	678
998	1004	13114	13120	7	12110	0.69	10	-10.24	0.18	0.04994807159250525	-100	-100	11	-14.42	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	998	1004	582	588
1025	1034	14304	14313	10	13270	0.79	10	-18.7	0.23	0.014043100640975026	-100	-100	14	-21.17	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	1025	1034	625	634
1028	1034	10052	10058	7	9018	0.89	10	-11.11	0.23	0.04684721788886148	-100	-100	13	-12.13	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	1028	1034	827	833
1029	1034	5025	5030	6	3991	0.76	10	-10.11	0.25	0.0393405631966971	-100	-100	13	-15.07	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	1029	1034	103	108
1029	1037	9678	9686	9	8641	0.9	10	-13.37	0.21	0.03323809691615176	-100	-100	17	-17.63	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	1029	1037	453	461
1030	1034	5145	5149	5	4111	0.79	10	-10.7	0.2	0.019636933744832885	-100	-100	11	-13.57	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	1030	1034	223	227
1030	1034	7035	7039	5	6001	0.76	10	-10.29	0.2	0.040525477861451664	-100	-100	16	-20.07	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	1030	1034	2113	2117
1030	1034	9532	9536	5	8498	0.78	10	-11.97	0.22	0.018589484391082767	-100	-100	11	-16.66	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	1030	1034	307	311
1030	1034	10174	10178	5	9140	0.74	10	-10.17	0.21	0.019710725771058146	-100	-100	11	-10.55	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	1030	1034	949	953
1030	1034	12822	12826	5	11788	0.74	10	-12.84	0.23	0.015599190261683105	-100	-100	10	-16.08	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1030	1034	290	294
1030	1035	9437	9442	6	8402	0.85	10	-10.08	0.24	0.019348415481555636	-100	-100	11	-14.36	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	1030	1035	212	217
1030	1036	13313	13319	7	12277	0.88	10	-12.37	0.23	0.04229331609275966	-100	-100	17	-18.88	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1030	1036	781	787
1030	1037	13248	13255	8	12211	0.89	10	-12.34	0.2	0.010639941791748653	-100	-100	17	-21.62	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1030	1037	716	723
1044	1051	14196	14203	8	13145	0.75	10	-10.56	0.26	0.02399935124865138	-100	-100	14	-19.58	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	1044	1051	517	524
1055	1060	12924	12929	6	11864	0.84	10	-11.29	0.22	0.048725444886184244	-100	-100	14	-16.13	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1055	1060	392	397
1055	1060	13353	13358	6	12293	0.87	10	-11.24	0.19	0.04470794367541542	-100	-100	9	-13.46	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1055	1060	821	826
1056	1061	13104	13109	6	12043	0.92	10	-11.01	0.22	0.029936271815608873	-100	-100	14	-22.16	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1056	1061	572	577
1056	1062	3144	3150	7	2082	0.88	10	-10.4	0.26	0.0332065368674771	-100	-100	12	-10.38	0.29	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	1056	1062	683	689
1056	1064	6047	6055	9	4983	0.8	10	-17.04	0.2	0.02662888797835905	-100	-100	12	-20.17	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	1056	1064	1125	1133
1057	1063	2538	2544	7	1475	0.85	10	-10.76	0.19	0.009834481799390615	-100	-100	18	-24.82	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	1057	1063	77	83
1057	1063	3729	3735	7	2666	0.9	10	-10.9	0.24	0.03016748976029593	-100	-100	10	-14.09	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	1057	1063	1268	1274
1057	1067	6504	6514	11	5437	0.83	10	-15.38	0.22	0.03782982949324332	-100	-100	23	-28.05	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	1057	1067	1582	1592
1058	1064	12766	12772	7	11702	0.86	10	-11.72	0.19	0.0481672060454853	-100	-100	13	-20.26	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1058	1064	234	240
1058	1064	13144	13150	7	12080	0.86	10	-12.86	0.19	0.033972502767266155	-100	-100	13	-16.67	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1058	1064	612	618
1062	1069	10101	10108	8	9032	0.83	10	-13.39	0.23	0.034031303329416174	-100	-100	16	-20.99	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	1062	1069	876	883
1064	1069	7023	7028	6	5954	0.77	10	-12.24	0.19	0.04348763833151392	-100	-100	16	-19.3	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	1064	1069	2101	2106
1066	1076	13165	13175	11	12089	0.76	10	-22.97	0.22	0.00981561285230692	-100	-100	20	-31.22	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1066	1076	633	643
1069	1075	9380	9386	7	8305	0.72	10	-11.66	0.22	0.04150302584632248	-100	-100	15	-17.03	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	1069	1075	155	161
1071	1075	4602	4606	5	3527	0.7	10	-10.53	0.26	0.019688554540025716	-100	-100	15	-20.81	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	1071	1075	2141	2145
1071	1075	5317	5321	5	4242	0.67	10	-10.6	0.23	0.01648124765701553	-100	-100	12	-16.08	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	1071	1075	395	399
1071	1076	9546	9551	6	8470	0.66	10	-10.85	0.25	0.038362951247523425	-100	-100	8	-13.35	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	1071	1076	321	326
1071	1077	3303	3309	7	2226	0.65	10	-11.66	0.26	0.032224366713032304	-100	-100	15	-14.45	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	1071	1077	842	848
1071	1077	6994	7000	7	5917	0.61	10	-11.96	0.26	0.044334772114109855	-100	-100	22	-22.8	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	1071	1077	2072	2078
1078	1085	14105	14112	8	13020	0.84	10	-10.62	0.2	0.018441252537096497	-100	-100	11	-10.5	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	1078	1085	426	433
1090	1098	9757	9765	9	8659	0.98	10	-14.13	0.18	0.03578092381541864	-100	-100	17	-24.66	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	1090	1098	532	540
1091	1101	3236	3246	11	2135	0.84	10	-14.63	0.25	0.01550415625169288	-100	-100	20	-16.28	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	1091	1101	775	785
1091	1102	5081	5092	12	3979	0.86	10	-20.06	0.23	0.008956116694391225	-100	-100	18	-23.67	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	1091	1102	159	170
1101	1109	2801	2809	9	1692	0.82	10	-11.81	0.22	0.043335358467799345	-100	-100	17	-16.47	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	1101	1109	340	348
1102	1108	13754	13760	7	12646	0.86	10	-10.63	0.2	0.025620890694577625	-100	-100	16	-13.53	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	1102	1108	75	81
1109	1122	13361	13374	14	12239	0.77	10	-20.57	0.2	0.010274471474584934	-100	-100	28	-31.8	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	1109	1122	829	842
